,name,source,data,link
55,기상청 통계 50년래 최악 가뭄… 농민들 “올해 농사 망했다” - 조선비즈,조선비즈,2022-06-07T07:00:00,https://news.google.com./articles/CBMiUmh0dHBzOi8vYml6LmNob3N1bi5jb20vdG9waWNzL3RvcGljc19zb2NpYWwvMjAyMi8wNi8wNy9CN0VFV0FZSzVCRFFOSDVQVUdJTEhMWExWTS_SAWFodHRwczovL2Jpei5jaG9zdW4uY29tL3RvcGljcy90b3BpY3Nfc29jaWFsLzIwMjIvMDYvMDcvQjdFRVdBWUs1QkRRTkg1UFVHSUxITFhMVk0vP291dHB1dFR5cGU9YW1w?hl=ko&gl=KR&ceid=KR%3Ako
56,소득 절반이 식비‥감당 안 되는 '밥값',MBC뉴스,2022-06-08T07:00:00,https://news.google.com./articles/CBMiRWh0dHBzOi8vaW1uZXdzLmltYmMuY29tL3JlcGxheS8yMDIyL253MTIwMC9hcnRpY2xlLzYzNzY1NzBfMzU3MTUuaHRtbNIBRWh0dHBzOi8vaW1uZXdzLmltYmMuY29tL3JlcGxheS8yMDIyL253MTIwMC9hcnRpY2xlLzYzNzY1NzBfMzU3MTYuaHRtbA?hl=ko&gl=KR&ceid=KR%3Ako
57,전남매일,전남매일,2022-06-12T07:00:00,https://news.google.com./articles/CBMiNWh0dHA6Ly9tLmpuZG4uY29tL2FydGljbGUucGhwP2FpZD0xNjU1MDIwODc5MzM4MzIyMTA40gEA?hl=ko&gl=KR&ceid=KR%3Ako
58,'사이다'만으로 허기 채울 수 없다…'고구마' 문재인에게 배워야할 것,한겨레,2022-06-12T07:00:00,https://news.google.com./articles/CBMiQmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9wb2xpdGljcy9wb2xpdGljc19nZW5lcmFsLzEwNDY2MDQuaHRtbNIBAA?hl=ko&gl=KR&ceid=KR%3Ako
59,"양배추·감자·무 등 채소 가격 '껑충', 고구마·양파·토마토 '하락'",한국농어촌방송,2022-06-14T07:00:00,https://news.google.com./articles/CBMiNmh0dHA6Ly93d3cubmV3c2tyLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz03ODIyMdIBOWh0dHA6Ly93d3cubmV3c2tyLmtyL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz03ODIyMQ?hl=ko&gl=KR&ceid=KR%3Ako
60,"메가마트, 전 상품 할인 ‘메가블랙데이’ 개최",부산제일경제,2022-06-15T07:00:00,https://news.google.com./articles/CBMiPmh0dHA6Ly93d3cuYnVzYW5lY29ub215LmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MjgyMTcw0gFCaHR0cHM6Ly93d3cuYnVzYW5lY29ub215LmNvbS9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89MjgyMTcw?hl=ko&gl=KR&ceid=KR%3Ako
61,점심은 '편의점 구독 쿠폰'으로…'런치플레이션' 견뎌내는 법,한겨레,2022-06-21T07:00:00,https://news.google.com./articles/CBMiOWh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9lY29ub215L2NvbnN1bWVyLzEwNDc2NTguaHRtbNIBAA?hl=ko&gl=KR&ceid=KR%3Ako
62,"한은 부총재 ""기대인플레 확산 방지에 통화정책 주안점 둬야""",한국경제,2022-06-23T07:00:00,https://news.google.com./articles/CAIiENIh6TOVnm9wPSE_S0u8RgYqGQgEKhAIACoHCAow0__cCjDUitABMMveiQI?uo=CAUiNmh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lY29ub215L2FydGljbGUvMjAyMjA2MjMwMTMzWdIBAA&hl=ko&gl=KR&ceid=KR%3Ako
63,외환위기 이후 24년 만에 최악…6월 소비자물가 6% 뛰었다,쿠키뉴스,2022-07-05T07:00:00,https://news.google.com./articles/CBMiMWh0dHBzOi8vd3d3Lmt1a2luZXdzLmNvbS9uZXdzVmlldy9rdWsyMDIyMDcwNTAwMTHSAQA?hl=ko&gl=KR&ceid=KR%3Ako
64,"'고구마 야구' 토론토, 강타선은 어디로 사라졌나 - 조선비즈",조선비즈,2022-07-09T07:00:00,https://news.google.com./articles/CBMiU2h0dHBzOi8vYml6LmNob3N1bi5jb20vc3BvcnRzL3dvcmxkLWJhc2ViYWxsLzIwMjIvMDcvMDkvS1NZQzRJRTJYWDNYNzZXRFRTQ1ZRWk83Qk0v0gFiaHR0cHM6Ly9iaXouY2hvc3VuLmNvbS9zcG9ydHMvd29ybGQtYmFzZWJhbGwvMjAyMi8wNy8wOS9LU1lDNElFMlhYM1g3NldEVFNDVlFaTzdCTS8_b3V0cHV0VHlwZT1hbXA?hl=ko&gl=KR&ceid=KR%3Ako
