,ds,yhat
428,2023-03-21,42405.56943914558
429,2023-03-22,42366.77361172369
430,2023-03-23,42362.95023679105
431,2023-03-24,42334.19468288193
432,2023-03-25,42323.45163670274
433,2023-03-26,42303.700094799184
434,2023-03-27,42290.68810490095
435,2023-03-28,42267.308295988645
436,2023-03-29,42228.512468566776
437,2023-03-30,42224.6890936341
438,2023-03-31,42195.93353972499
439,2023-04-01,42185.19049354583
440,2023-04-02,42165.43895164223
441,2023-04-03,42152.42696174397
442,2023-04-04,42129.04715283167
443,2023-04-05,42090.25132540981
444,2023-04-06,42086.42795047716
445,2023-04-07,42057.67239656807
446,2023-04-08,42046.92935038889
447,2023-04-09,42027.17780848531
448,2023-04-10,42014.16581858707
449,2023-04-11,41990.786009674775
450,2023-04-12,41951.99018225289
451,2023-04-13,41948.16680732024
452,2023-04-14,41919.41125341114
453,2023-04-15,41908.66820723198
454,2023-04-16,41888.9166653284
455,2023-04-17,41875.90467543017
456,2023-04-18,41852.52486651786
457,2023-04-19,41813.72903909595
458,2023-04-20,41809.90566416331
459,2023-04-21,41781.15011025419
460,2023-04-22,41770.40706407501
461,2023-04-23,41750.655522171386
462,2023-04-24,41737.64353227318
463,2023-04-25,41714.26372336091
464,2023-04-26,41675.46789593902
465,2023-04-27,41671.644521006376
466,2023-04-28,41642.88896709728
467,2023-04-29,41632.1459209181
468,2023-04-30,41612.39437901452
469,2023-05-01,41599.382389116276
470,2023-05-02,41576.002580203945
471,2023-05-03,41537.20675278208
472,2023-05-04,41533.383377849415
473,2023-05-05,41504.627823940325
474,2023-05-06,41493.88477776115
475,2023-05-07,41474.13323585756
476,2023-05-08,41461.12124595934
477,2023-05-09,41437.74143704704
478,2023-05-10,41398.94560962516
479,2023-05-11,41395.12223469249
480,2023-05-12,41366.36668078338
481,2023-05-13,41355.623634604206
482,2023-05-14,41335.87209270064
483,2023-05-15,41322.86010280239
484,2023-05-16,41299.48029389008
485,2023-05-17,41260.6844664682
486,2023-05-18,41256.86109153556
487,2023-05-19,41228.105537626456
488,2023-05-20,41217.36249144726
489,2023-05-21,41197.61094954368
490,2023-05-22,41184.598959645446
491,2023-05-23,41161.21915073309
492,2023-05-24,41122.423323311275
493,2023-05-25,41118.59994837864
494,2023-05-26,41089.844394469525
495,2023-05-27,41079.10134829036
496,2023-05-28,41059.3498063868
497,2023-05-29,41046.33781648855
498,2023-05-30,41022.95800757625
499,2023-05-31,40984.16218015435
500,2023-06-01,40980.3388052217
501,2023-06-02,40951.58325131259
502,2023-06-03,40940.840205133376
503,2023-06-04,40921.08866322984
504,2023-06-05,40908.076673331554
505,2023-06-06,40884.696864419275
506,2023-06-07,40845.90103699743
507,2023-06-08,40842.077662064774
508,2023-06-09,40813.32210815564
509,2023-06-10,40802.579061976474
510,2023-06-11,40782.82752007288
511,2023-06-12,40769.81553017466
512,2023-06-13,40746.435721262336
513,2023-06-14,40707.63989384047
514,2023-06-15,40703.81651890784
515,2023-06-16,40675.06096499874
516,2023-06-17,40664.317918819565
517,2023-06-18,40644.56637691597
518,2023-06-19,40631.55438701771
519,2023-06-20,40608.174578105405
520,2023-06-21,40569.37875068354
521,2023-06-22,40565.55537575089
522,2023-06-23,40536.799821841785
523,2023-06-24,40526.056775662626
524,2023-06-25,40506.30523375905
525,2023-06-26,40493.29324386081
526,2023-06-27,40469.913434948525
527,2023-06-28,40431.11760752663
528,2023-06-29,40427.29423259396
529,2023-06-30,40398.538678684854
530,2023-07-01,40387.79563250569
531,2023-07-02,40368.04409060208
532,2023-07-03,40355.03210070382
533,2023-07-04,40331.65229179155
534,2023-07-05,40292.856464369666
535,2023-07-06,40289.03308943703
536,2023-07-07,40260.27753552793
537,2023-07-08,40249.53448934874
538,2023-07-09,40229.782947445216
539,2023-07-10,40216.77095754692
540,2023-07-11,40193.39114863462
541,2023-07-12,40154.59532121275
542,2023-07-13,40150.771946280074
543,2023-07-14,40122.01639237099
544,2023-07-15,40111.27334619184
545,2023-07-16,40091.52180428825
546,2023-07-17,40078.50981438998
547,2023-07-18,40055.13000547768
548,2023-07-19,40016.33417805582
549,2023-07-20,40012.51080312314
550,2023-07-21,39983.755249214046
551,2023-07-22,39973.01220303486
552,2023-07-23,39953.26066113125
553,2023-07-24,39940.24867123304
554,2023-07-25,39916.86886232075
555,2023-07-26,39878.07303489887
556,2023-07-27,39874.24965996621
557,2023-07-28,39845.494106057115
558,2023-07-29,39834.75105987795
559,2023-07-30,39814.99951797433
560,2023-07-31,39801.98752807609
561,2023-08-01,39778.607719163774
562,2023-08-02,39739.811891741934
563,2023-08-03,39735.98851680929
564,2023-08-04,39707.232962900176
565,2023-08-05,39696.48991672101
566,2023-08-06,39676.73837481742
567,2023-08-07,39663.72638491919
568,2023-08-08,39640.34657600687
569,2023-08-09,39601.550748585025
570,2023-08-10,39597.72737365236
571,2023-08-11,39568.97181974325
572,2023-08-12,39558.228773564064
573,2023-08-13,39538.4772316605
574,2023-08-14,39525.4652417622
575,2023-08-15,39502.085432849955
576,2023-08-16,39463.28960542808
577,2023-08-17,39459.466230495425
578,2023-08-18,39430.7106765863
579,2023-08-19,39419.967630407125
580,2023-08-20,39400.2160885035
581,2023-08-21,39387.2040986053
582,2023-08-22,39363.82428969302
583,2023-08-23,39325.02846227114
584,2023-08-24,39321.2050873385
585,2023-08-25,39292.44953342939
586,2023-08-26,39281.706487250216
587,2023-08-27,39261.95494534663
588,2023-08-28,39248.9429554484
589,2023-08-29,39225.563146536086
590,2023-08-30,39186.767319114195
591,2023-08-31,39182.94394418154
592,2023-09-01,39154.18839027244
593,2023-09-02,39143.44534409328
594,2023-09-03,39123.693802189664
595,2023-09-04,39110.681812291456
596,2023-09-05,39087.302003379205
597,2023-09-06,39048.50617595728
598,2023-09-07,39044.68280102461
599,2023-09-08,39015.92724711549
600,2023-09-09,39005.18420093634
601,2023-09-10,38985.43265903275
602,2023-09-11,38972.42066913451
603,2023-09-12,38949.04086022223
604,2023-09-13,38910.24503280031
605,2023-09-14,38906.42165786768
606,2023-09-15,38877.66610395858
